StudyYear,MeanDepth,PlotNumber,SurveyPeriod,DateSurveyPeriod,UniqueSurveyPlots,birds_number_all,pisc_number_all,birds_number_behavior,birds_time,birds_feeding_time,pisc_number_behavior,pisc_time,pisc_feeding_time,SiteArrivalTime,SiteDepartureTime,SurveyStartTime,SurveyEndTime,Sunrise_Sunset,AreaSearchStartTime,AreaSearchEndTime,TemperatureArrival_DegF,WindArrival_MPH,CloudCoverArrival_Percent,BarometricPressureArrival_Hg,BarometricPressure_Trend,TemperatureDeparture_DegF,WindDeparture_MPH,CloudCoverDeparture_Percent,MoonPhase_Percent,StartingDirection_Plot1_8,HuntDay,Weather,Machinery,Additional.Notes,NumBirds_North,NumBirds_East,NumBirds_South,NumBirds_West,Treatment,PiscPresenceAbsence,BirdPresenceAbsence,FishPresent
Year1,24,1,Morning,2023-11-17 Morning,2023-11-17 Morning 1,1,0,0,0,0,0,0,0,11/17/2023 6:30,11/17/2023 9:30,11/17/2023 7:00,11/17/2023 7:40,11/17/2023 6:51,NA,NA,60,1.9,0.4,29.98,NA,60,2.2,0.4,0.19,1,Y,None,None,Occassional gunshots from the N. Worked on camera traps. Decoys left.,1000,1000,1000,100,Fish,0,1,Present
Year1,24,1,Evening,2023-11-20 Evening,2023-11-20 Evening 1,1,0,0,0,0,0,0,0,11/20/2023 15:48,11/20/2023 18:35,11/20/2023 15:54,11/20/2023 16:34,11/20/2023 16:50,NA,NA,65.6,2.1,0,30.2,NA,62.4,2.2,0,0.56,1,N,None,None,,1000,1000,1000,100,Fish,0,1,Present
Year1,24,1,Night,2023-11-20 Night,2023-11-20 Night 1,0,0,0,0,0,0,0,0,11/20/2023 15:48,11/20/2023 18:35,11/20/2023 17:52,11/20/2023 18:32,11/20/2023 16:50,NA,NA,60.9,1.7,0,30.22,NA,59.9,0,0,0.56,1,N,None,None,,NA,NA,NA,NA,Fish,0,0,Present
Year1,24,1,Morning,2023-11-24 Morning,2023-11-24 Morning 1,0,0,0,0,0,0,0,0,11/24/2023 6:36,11/24/2023 7:35,11/24/2023 6:44,11/24/2023 7:24,11/24/2023 6:58,NA,NA,46.5,14.8,0,29.96,Increasing,45.3,9,0,0.91,8,N,None,None,,1000,1000,1000,100,Fish,0,0,Present
Year1,24,1,Evening,2023-11-27 Evening,2023-11-27 Evening 1,3,2,0,0,0,0,0,0,11/27/2023 15:40,11/27/2023 18:15,11/27/2023 15:45,11/27/2023 16:25,11/27/2023 16:46,NA,NA,61,2.2,0.05,30.12,NA,57.1,1.9,0.05,0.99,8,N,Smoke,None,Getting progressively smokier.,1000,100,100,10,Fish,1,1,Present
Year1,24,1,Night,2023-11-27 Night,2023-11-27 Night 1,0,0,0,0,0,0,0,0,11/27/2023 15:40,11/27/2023 18:15,11/27/2023 17:50,11/27/2023 18:10,11/27/2023 16:46,NA,NA,53.5,0.8,0.05,30.13,NA,51,0.9,0.05,0.99,1,N,None,None,,NA,NA,NA,NA,Fish,0,0,Present
Year1,24,1,Morning,2023-12-01 Morning,2023-12-01 Morning 1,1,0,1,10,0,0,0,0,12/1/2023 6:30,12/1/2023 7:40,12/1/2023 6:54,12/1/2023 7:34,12/1/2023 7:05,NA,NA,39.6,2.2,0.2,30.13,Increasing,37,1.8,0.2,0.81,8,N,Fog,None,"Light fog, lifting",1000,100,100,10,Fish,0,1,Present
Year1,24,1,Evening,2023-12-07 Evening,2023-12-07 Evening 1,0,0,0,0,0,0,0,0,12/7/2023 15:50,12/7/2023 18:05,12/7/2023 16:00,12/7/2023 16:40,12/7/2023 16:44,NA,NA,56,2.7,0.4,30.15,Decreasing,50,2.8,0.3,0.24,8,N,None,None,Showers throughout the day.,1000,100,100,10,Fish,0,0,Present
Year1,24,1,Night,2023-12-07 Night,2023-12-07 Night 1,0,0,0,0,0,0,0,0,12/7/2023 15:50,12/7/2023 18:05,12/7/2023 17:44,12/7/2023 18:04,12/7/2023 16:44,NA,NA,51,2.7,0.2,30.16,NA,50,3.3,0.2,0.24,1,N,None,None,,NA,NA,NA,NA,Fish,0,0,Present
Year1,24,1,Morning,2023-12-08 Morning,2023-12-08 Morning 1,3,0,0,0,0,0,0,0,12/8/2023 6:37,12/8/2023 7:45,12/8/2023 6:59,12/8/2023 7:39,12/8/2023 7:12,NA,NA,44,4.7,0.1,30.28,Increasing,48.7,6.1,0.1,0.19,8,Y,None,None,Hunting to the West.,100,100,100,10,Fish,0,1,Present
