,SampleDate,PlotID,FishTreatment,BirdTreatment,treatment,ElapsedDays,ElapsedDays2,Pre_Post,SamplingOccasion,MeanTemp,MeanDO,MeanDepth,total,StudyYear
1,11/20/2023,1C,Fish,Birds,Birds Fish,1,1,Pre,11/20/2023,10.59513889,9.17625,25.99999999,579.932374,Year1
2,11/20/2023,2E,NoFish,NoBirds,NoBirds NoFish,1,1,Pre,11/20/2023,10.42268519,9.727083333,23,869.898561,Year1
3,11/20/2023,3C,NoFish,Birds,Birds NoFish,1,1,Pre,11/20/2023,10.60324074,7.812916667,25,176.9285209,Year1
4,11/20/2023,4E,Fish,NoBirds,NoBirds Fish,1,1,Pre,11/20/2023,10.37638889,9.875,27,594.6764174,Year1
5,11/20/2023,5C,NoFish,Birds,Birds NoFish,1,1,Pre,11/20/2023,10.51203704,9.020416667,25.99999999,525.8708815,Year1
6,11/20/2023,6C,Fish,Birds,Birds Fish,1,1,Pre,11/20/2023,10.47037037,9.67125,25.99999999,891.6635774,Year1
7,11/20/2023,6E,Fish,NoBirds,NoBirds Fish,1,1,Pre,11/20/2023,10.53125,9.119166667,27,599.5910986,Year1
8,11/20/2023,7C,Fish,Birds,Birds Fish,1,1,Pre,11/20/2023,10.57268519,9.09625,25.99999999,575.0176929,Year1
9,11/20/2023,7E,Fish,NoBirds,NoBirds Fish,1,1,Pre,11/20/2023,10.38356481,9.6,29.99999999,471.809389,Year1
10,11/20/2023,8C,NoFish,Birds,Birds NoFish,1,1,Pre,11/20/2023,10.11643519,8.873333333,22,407.9185342,Year1
11,11/20/2023,8E,NoFish,NoBirds,NoBirds NoFish,1,1,Pre,11/20/2023,10.33217593,8.6175,25,545.529606,Year1
12,12/15/2023,1C,Fish,Birds,Birds Fish,26,676,Pre,12/15/2023,8.933564815,7.81125,30.734,1277.817096,Year1
13,12/15/2023,1E,Fish,NoBirds,NoBirds Fish,26,676,Pre,12/15/2023,9.049768519,5.98125,30.48,2187.033106,Year1
14,12/15/2023,2C,NoFish,Birds,Birds NoFish,26,676,Pre,12/15/2023,9.192592593,7.495416667,30.48,322.9647603,Year1
15,12/15/2023,2E,NoFish,NoBirds,NoBirds NoFish,26,676,Pre,12/15/2023,8.878240741,8.174583333,34.29,103.2083038,Year1
16,12/15/2023,3C,NoFish,Birds,Birds NoFish,26,676,Pre,12/15/2023,8.843287037,8.418333333,31.75,373.5157662,Year1
17,12/15/2023,3E,NoFish,NoBirds,NoBirds NoFish,26,676,Pre,12/15/2023,8.985416667,7.428333333,23.368,1437.544232,Year1
18,12/15/2023,4C,Fish,Birds,Birds Fish,26,676,Pre,12/15/2023,8.978009259,7.595416667,35.56,2604.781002,Year1
19,12/15/2023,4E,Fish,NoBirds,NoBirds Fish,26,676,Pre,12/15/2023,8.870601852,8.604166667,32.512,393.1744908,Year1
20,12/15/2023,5C,NoFish,Birds,Birds NoFish,26,676,Pre,12/15/2023,8.876157407,6.42875,29.21,172.0138397,Year1
21,12/15/2023,5E,NoFish,NoBirds,NoBirds NoFish,26,676,Pre,12/15/2023,9.092824074,5.343333333,29.21,845.3251553,Year1
22,12/15/2023,6C,Fish,Birds,Birds Fish,26,676,Pre,12/15/2023,9.18912037,7.6675,27.94,1051.741763,Year1
23,12/15/2023,6E,Fish,NoBirds,NoBirds Fish,26,676,Pre,12/15/2023,9.023842593,7.729583333,29.21,226.0753322,Year1
24,12/15/2023,7C,Fish,Birds,Birds Fish,26,676,Pre,12/15/2023,8.95625,7.5075,33.02,688.0553589,Year1
25,12/15/2023,7E,Fish,NoBirds,NoBirds Fish,26,676,Pre,12/15/2023,9.11712963,7.89,32.512,211.3312889,Year1
26,12/15/2023,8C,NoFish,Birds,Birds NoFish,26,676,Pre,12/15/2023,8.715509259,8.402083333,34.29,1270.172036,Year1
27,12/27/2023,1C,Fish,Birds,Birds Fish,38,1444,Post,12/27/2023,10.3025463,7.968333333,30.734,908.4713614,Year1
28,12/27/2023,1E,Fish,NoBirds,NoBirds Fish,38,1444,Post,12/27/2023,10.28148148,7.827916667,30.48,132.6963907,Year1
29,12/27/2023,2C,NoFish,Birds,Birds NoFish,38,1444,Post,12/27/2023,10.27222222,9.557916667,30.48,98.29362271,Year1
30,12/27/2023,2E,NoFish,NoBirds,NoBirds NoFish,38,1444,Post,12/27/2023,10.3400463,9.647083333,34.29,1325.474609,Year1
31,12/27/2023,3C,NoFish,Birds,Birds NoFish,38,1444,Post,12/27/2023,10.2099537,8.042916667,31.75,1122.185526,Year1
32,12/27/2023,3E,NoFish,NoBirds,NoBirds NoFish,38,1444,Post,12/27/2023,10.32268519,7.599166667,23.368,461.98,Year1
33,12/27/2023,4C,Fish,Birds,Birds Fish,38,1444,Post,12/27/2023,10.25694444,9.25625,35.56,70.20973,Year1
34,12/27/2023,4E,Fish,NoBirds,NoBirds Fish,38,1444,Post,12/27/2023,10.23703704,9.755833333,32.512,312.7524359,Year1
35,12/27/2023,5C,NoFish,Birds,Birds NoFish,38,1444,Post,12/27/2023,10.26064815,6.9225,29.21,2142.800975,Year1
36,12/27/2023,5E,NoFish,NoBirds,NoBirds NoFish,38,1444,Post,12/27/2023,10.3099537,7.1625,29.21,2693.245721,Year1
37,12/27/2023,6C,Fish,Birds,Birds Fish,38,1444,Post,12/27/2023,10.31157407,9.36125,27.94,165.8704884,Year1
38,12/27/2023,6E,Fish,NoBirds,NoBirds Fish,38,1444,Post,12/27/2023,10.31087963,9.169166667,29.21,113.0376661,Year1
39,12/27/2023,7C,Fish,Birds,Birds Fish,38,1444,Post,12/27/2023,10.23402778,9.085833333,33.02,334.19831,Year1
40,12/27/2023,7E,Fish,NoBirds,NoBirds Fish,38,1444,Post,12/27/2023,10.34305556,8.885416667,32.512,609.42047,Year1
