"","Date","PlotID","CH4Flux","FishTreatment","BirdTreatment","treatment","StudyYear","SamplingOccasion","logFlux","MeanDepth","PO4","GravH2O","NH4","NO3","Redox","SoilTemp","Daphnia","WinterFlood","FishOnFields","ElapsedDays","ElapsedDays2","Pre_Post","MeanTemp","MeanDO"
"1",2023-12-08,"1C",394.89113,"Fish","Birds","Birds Fish","Year1","12/8/2023",5.978610107,25.99999999,NA,NA,NA,NA,NA,NA,550.4442872,"Y","N",1,1,"Pre",9.19953703703704,8.03958333333333
"2",2023-12-08,"1E",10.15673,"Fish","NoBirds","NoBirds Fish","Year1","12/8/2023",2.31813654,23,NA,NA,NA,NA,NA,NA,NA,"Y","N",1,1,"Pre",9.20740740740741,8.41916666666667
"3",2023-12-08,"2C",13.27277,"NoFish","Birds","Birds NoFish","Year1","12/8/2023",2.585714568,24,NA,NA,NA,NA,NA,NA,NA,"Y","N",1,1,"Pre",9.31990740740741,9.2625
"4",2023-12-08,"2E",25.354955,"NoFish","NoBirds","NoBirds NoFish","Year1","12/8/2023",3.232974174,23,NA,NA,NA,NA,NA,NA,860.0691987,"Y","N",1,1,"Pre",9.13726851851852,8.86625
"5",2023-12-08,"3C",122.202075,"NoFish","Birds","Birds NoFish","Year1","12/8/2023",4.805676027,25,NA,NA,NA,NA,NA,NA,157.2697963,"Y","N",1,1,"Pre",9.22986111111111,8.80583333333333
"6",2023-12-08,"3E",11.12694,"NoFish","NoBirds","NoBirds NoFish","Year1","12/8/2023",2.409369195,24,NA,NA,NA,NA,NA,NA,NA,"Y","N",1,1,"Pre",9.20717592592593,8.87208333333333
"7",2023-12-08,"4E",17.50899,"Fish","NoBirds","NoBirds Fish","Year1","12/8/2023",2.862714463,27,NA,NA,NA,NA,NA,NA,575.0176929,"Y","N",1,1,"Pre",9.15833333333333,9.10416666666667
"8",2023-12-08,"5C",53.769525,"NoFish","Birds","Birds NoFish","Year1","12/8/2023",3.984706857,25.99999999,NA,NA,NA,NA,NA,NA,525.8708815,"Y","N",1,1,"Pre",9.26134259259259,8.87291666666667
"9",2023-12-08,"5E",97.77294,"NoFish","NoBirds","NoBirds NoFish","Year1","12/8/2023",4.582647852,25,NA,NA,NA,NA,NA,NA,NA,"Y","N",1,1,"Pre",9.21828703703704,8.77958333333333
"10",2023-12-08,"6C",75.00513,"Fish","Birds","Birds Fish","Year1","12/8/2023",4.317556511,25.99999999,NA,NA,NA,NA,NA,NA,821.4538469,"Y","N",1,1,"Pre",9.38078703703704,9.09583333333333
