"","Date","PlotID","CH4Flux","FishTreatment","BirdTreatment","treatment","StudyYear","SamplingOccasion","logFlux","MeanDepth","PO4","Date.y","GravH2O","NH4","NO3","Redox","SoilTemp","Daphnia","ElapsedDays","ElapsedDays2","MeanTemp","MeanDO","Pre_Post"
"1",2024-10-02,"1C",0.331945,"Fish","Birds","Birds Fish","Year2","2024-10-02",-1.10278598643982,NA,3.79,"10/2/2024",0.16,2.57,1.18,NA,NA,NA,1,1,NA,NA,"Pre"
"2",2024-10-02,"1E",0.79226,"Fish","NoBirds","NoBirds Fish","Year2","2024-10-02",-0.232865658212446,NA,4.37,"10/2/2024",0.14,1.89,0.83,NA,NA,NA,1,1,NA,NA,"Pre"
"3",2024-10-02,"2C",0.30426,"NoFish","Birds","Birds NoFish","Year2","2024-10-02",-1.18987267994715,NA,2.7,"10/2/2024",0.14,1.67,1.02,NA,NA,NA,1,1,NA,NA,"Pre"
"4",2024-10-02,"2E",0.854615,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-10-02",-0.157104203855104,NA,4.8,"10/2/2024",0.1,3.31,0.09,NA,NA,NA,1,1,NA,NA,"Pre"
"5",2024-10-02,"3C",0.976785,"NoFish","Birds","Birds NoFish","Year2","2024-10-02",-0.023488712568907,NA,3.43,"10/2/2024",0.19,2.96,0.65,NA,NA,NA,1,1,NA,NA,"Pre"
"6",2024-10-02,"3E",1.24706,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-10-02",0.220788781017532,NA,3.64,"10/2/2024",0.15,1.93,0.59,NA,NA,NA,1,1,NA,NA,"Pre"
"7",2024-10-02,"4C",0.74333,"Fish","Birds","Birds Fish","Year2","2024-10-02",-0.29661518751107,NA,3.17,"10/2/2024",0.16,1.89,0.13,NA,NA,NA,1,1,NA,NA,"Pre"
"8",2024-10-02,"4E",0.758205,"Fish","NoBirds","NoBirds Fish","Year2","2024-10-02",-0.276801481355569,NA,5.2,"10/2/2024",0.12,4.34,0.03,NA,NA,NA,1,1,NA,NA,"Pre"
"9",2024-10-02,"5C",0.999455,"NoFish","Birds","Birds NoFish","Year2","2024-10-02",-0.000545148566481625,NA,4.98,"10/2/2024",0.15,1.7,0,NA,NA,NA,1,1,NA,NA,"Pre"
"10",2024-10-02,"5E",0.44352,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-10-02",-0.813012382420653,NA,3.9,"10/2/2024",0.14,1.67,0,NA,NA,NA,1,1,NA,NA,"Pre"
"11",2024-10-02,"6C",0.907035,"Fish","Birds","Birds Fish","Year2","2024-10-02",-0.0975742408573927,NA,5.38,"10/2/2024",0.18,1.68,0.44,NA,NA,NA,1,1,NA,NA,"Pre"
"12",2024-10-02,"6E",0.429065,"Fish","NoBirds","NoBirds Fish","Year2","2024-10-02",-0.846146856379866,NA,4.87,"10/2/2024",0.17,1.73,0.13,NA,NA,NA,1,1,NA,NA,"Pre"
"13",2024-10-02,"7C",0.45576,"Fish","Birds","Birds Fish","Year2","2024-10-02",-0.785788923809997,NA,6.32,"10/2/2024",0.2,0.33,0.1,NA,NA,NA,1,1,NA,NA,"Pre"
"14",2024-10-02,"7E",1.30027,"Fish","NoBirds","NoBirds Fish","Year2","2024-10-02",0.262571935210122,NA,7.05,"10/2/2024",0.19,1.36,0.58,NA,NA,NA,1,1,NA,NA,"Pre"
"15",2024-10-02,"8C",0.6975,"NoFish","Birds","Birds NoFish","Year2","2024-10-02",-0.360252765286616,NA,8.39,"10/2/2024",0.2,1.54,1.19,NA,NA,NA,1,1,NA,NA,"Pre"
"16",2024-10-02,"8E",1.21243,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-10-02",0.192626610204185,NA,5.64,"10/2/2024",0.21,2.66,0.49,NA,NA,NA,1,1,NA,NA,"Pre"
"17",2024-10-29,"1C",12.56641,"Fish","Birds","Birds Fish","Year2","2024-10-29",2.53102738117409,15.24,NA,"10/29/2024",0.28,1.95,0.57,NA,NA,NA,28,784,16.7381818181818,6.78363636363636,"Pre"
"18",2024-10-29,"1E",2.362975,"Fish","NoBirds","NoBirds Fish","Year2","2024-10-29",0.859921418377328,15.24,NA,"10/29/2024",0.37,1.13,0.53,NA,NA,NA,28,784,17.0818181818182,6.52636363636364,"Pre"
"19",2024-10-29,"2C",6.839925,"NoFish","Birds","Birds NoFish","Year2","2024-10-29",1.92277676666206,17.78,NA,"10/29/2024",0.33,0.94,1.56,NA,NA,NA,28,784,16.6945454545455,7.76818181818182,"Pre"
"20",2024-10-29,"2E",5.05423,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-10-29",1.62022551643863,17.78,NA,"10/29/2024",0.38,6.12,0,NA,NA,NA,28,784,16.6090909090909,7.60181818181818,"Pre"
"21",2024-10-29,"3C",29.09128,"NoFish","Birds","Birds NoFish","Year2","2024-10-29",3.37043847291412,21.59,NA,"10/29/2024",NA,NA,NA,NA,NA,NA,28,784,16.37,7.58136363636364,"Pre"
"22",2024-10-29,"3E",5.9329,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-10-29",1.78051313225497,15.24,NA,"10/29/2024",0.38,0.45,0.59,NA,NA,NA,28,784,16.8654545454545,7.29090909090909,"Pre"
"23",2024-10-29,"4C",269.35357,"Fish","Birds","Birds Fish","Year2","2024-10-29",5.59602490316902,25.4,NA,"10/29/2024",0.39,0.72,0.12,38.65,NA,NA,28,784,16.5872727272727,7.47818181818182,"Pre"
"24",2024-10-29,"4E",12.17858,"Fish","NoBirds","NoBirds Fish","Year2","2024-10-29",2.49967867092038,20.32,NA,"10/29/2024",0.42,2.7,4.52,NA,NA,NA,28,784,16.4127272727273,7.49,"Pre"
"25",2024-10-29,"5C",41.71113,"NoFish","Birds","Birds NoFish","Year2","2024-10-29",3.73076799966638,21.59,NA,"10/29/2024",0.38,0.13,0.87,86.5,NA,NA,28,784,16.3963636363636,7.20636363636364,"Pre"
"26",2024-10-29,"5E",6.38858,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-10-29",1.8545120214722,20.32,NA,"10/29/2024",0.35,1.21,0.81,95.15,NA,NA,28,784,16.8490909090909,7.06454545454545,"Pre"
"27",2024-10-29,"6C",7.8127,"Fish","Birds","Birds Fish","Year2","2024-10-29",2.05575061473485,22.86,NA,"10/29/2024",0.35,1.4,0.6,NA,NA,NA,28,784,16.7,7.78545454545455,"Pre"
"28",2024-10-29,"6E",22.352815,"Fish","NoBirds","NoBirds Fish","Year2","2024-10-29",3.10695226391144,17.78,NA,"10/29/2024",0.34,2.3,0.11,NA,NA,NA,28,784,16.4472727272727,7.23818181818182,"Pre"
"29",2024-10-29,"8E",7.559405,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-10-29",2.02279248339044,10.16,NA,"10/29/2024",0.36,2.36,0.61,60.53333333,NA,NA,28,784,16.3618181818182,5.72727272727273,"Pre"
"30",2024-11-13,"1C",49.28033,"Fish","Birds","Birds Fish","Year2","2024-11-13",3.89752501563141,24.13,3.68,"11/13/2024",0.37,3.45,0.3,-52.2,12.9,4226.625777,43,1849,11.4716666666667,9.00833333333333,"Pre"
"31",2024-11-13,"1E",496.928635,"Fish","NoBirds","NoBirds Fish","Year2","2024-11-13",6.20844642423708,28.575,2.88,"11/13/2024",0.28,6.94,0.06,-60.8,12.9,18724.93513,43,1849,11.5708333333333,9.00375,"Pre"
"32",2024-11-13,"2C",310.101685,"NoFish","Birds","Birds NoFish","Year2","2024-11-13",5.7369002598227,22.225,2.56,"11/13/2024",0.35,3.58,0.07,-46.2,12.7,3243.68955,43,1849,11.4241666666667,10.1020833333333,"Pre"
"33",2024-11-13,"2E",29.851465,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-11-13",3.39623391736126,25.4,3.57,"11/13/2024",0.37,3.22,0.16,-7.1,12.2,1562.868601,43,1849,11.5133333333333,9.73875,"Pre"
"34",2024-11-13,"3C",24.32143,"NoFish","Birds","Birds NoFish","Year2","2024-11-13",3.19135785471146,21.59,3.57,"11/13/2024",0.36,2.86,0.02,-57.6,12.6,7630.042463,43,1849,11.3995833333333,9.77479166666667,"Pre"
"35",2024-11-13,"3E",10342.87505,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-11-13",9.24405316067059,24.13,2.48,"11/13/2024",0.33,3.06,0.11,-36.9,12.9,8797.279233,43,1849,11.5416666666667,9.60625,"Pre"
"36",2024-11-13,"4C",80.939125,"Fish","Birds","Birds Fish","Year2","2024-11-13",4.39369732891239,22.86,2.59,"11/13/2024",0.37,4.32,0.02,-86.4,12.7,2663.757175,43,1849,11.5,9.75083333333333,"Pre"
"37",2024-11-13,"4E",4038.7549,"Fish","NoBirds","NoBirds Fish","Year2","2024-11-13",8.30369173038464,25.146,3.93,"11/13/2024",0.37,3.72,0.02,-98.5,12.7,4914.681135,43,1849,11.4341666666667,10.045,"Pre"
"38",2024-11-13,"5C",229.11084,"NoFish","Birds","Birds NoFish","Year2","2024-11-13",5.43420590392282,27.94,4.44,"11/13/2024",0.37,4.1,0.02,-30.9,12.5,417.7478966,43,1849,11.4675,9.21666666666667,"Pre"
"39",2024-11-13,"5E",12.056865,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-11-13",2.48963420725736,24.765,3.46,"11/13/2024",0.34,2.33,0.02,-23.7,12.5,9780.215459,43,1849,11.5733333333333,9.35791666666667,"Pre"
"40",2024-11-13,"6C",81.600975,"Fish","Birds","Birds Fish","Year2","2024-11-13",4.40184121042809,27.305,5.89,"11/13/2024",0.34,8.1,0.02,-39.2,13,5971.337579,43,1849,11.5141666666667,10.2691666666667,"Pre"
"41",2024-11-13,"6E",3847.01399,"Fish","NoBirds","NoBirds Fish","Year2","2024-11-13",8.25505253934563,22.225,4.87,"11/13/2024",0.35,4,0.02,-26.4,13,7040.280726,43,1849,11.405,9.38375,"Pre"
"42",2024-11-13,"7C",4937.3929,"Fish","Birds","Birds Fish","Year2","2024-11-13",8.50459271783488,19.685,4.37,"11/13/2024",0.37,3.74,0.02,-25.7,12.5,457.0653456,43,1849,11.4183333333333,9.22791666666667,"Pre"
"43",2024-11-13,"7E",11.719645,"Fish","NoBirds","NoBirds Fish","Year2","2024-11-13",2.46126649358772,24.13,4.87,"11/13/2024",0.38,4.67,0.02,-28.9,12.5,7224.581269,43,1849,11.5941666666667,9.44875,"Pre"
"44",2024-11-13,"8C",31.245525,"NoFish","Birds","Birds NoFish","Year2","2024-11-13",3.44187616592831,28.575,6.51,"11/13/2024",0.34,6.99,0.02,20.3,12.3,3092.153548,43,1849,11.43,8.10291666666667,"Pre"
"45",2024-11-13,"8E",15.672895,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-11-13",2.75193278723011,13.335,5.53,"11/13/2024",0.36,10.77,0.02,3.9,12.6,2539.25192,43,1849,11.5166666666667,7.21791666666667,"Pre"
"46",2024-11-26,"1C",3.814455,"Fish","Birds","Birds Fish","Year2","2024-11-26",1.33879779738851,24.13,NA,"11/26/2024",0.35,3.23,0.02,-75.1,12.3,2531.060785,56,3136,12.4258333333333,9.35166666666667,"Pre"
"47",2024-11-26,"1E",139.15041,"Fish","NoBirds","NoBirds Fish","Year2","2024-11-26",4.93555543442821,28.575,NA,"11/26/2024",0.35,2.15,0.02,-102.4,12.4,15739.26633,56,3136,12.4575,9.30791666666667,"Pre"
"48",2024-11-26,"2C",7.68325,"NoFish","Birds","Birds NoFish","Year2","2024-11-26",2.03904263472874,22.225,NA,"11/26/2024",0.32,2.08,0.14,-71.9,12.3,11844.38154,56,3136,12.5466666666667,10.1345833333333,"Pre"
"49",2024-11-26,"2E",3.9739,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-11-26",1.37974798024986,25.4,NA,"11/26/2024",0.84,5.12,0.02,-98.3,12.1,880.5470368,56,3136,12.4016666666667,9.03083333333333,"Pre"
"50",2024-11-26,"3C",33.13442,"NoFish","Birds","Birds NoFish","Year2","2024-11-26",3.5005726212373,21.59,NA,"11/26/2024",0.35,1.02,0.02,-77.9,12.2,1945.394616,56,3136,12.5258333333333,9.69458333333333,"Pre"
"51",2024-11-26,"3E",2088.31546,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-11-26",7.64411301996622,24.13,NA,"11/26/2024",0.81,8.82,0.02,-94.8,12.4,4005.465125,56,3136,12.4866666666667,9.82125,"Pre"
"52",2024-11-26,"4C",6250.818275,"Fish","Birds","Birds Fish","Year2","2024-11-26",8.74046765816065,22.86,NA,"11/26/2024",0.38,3.84,0.02,-50.8,12.6,8895.572856,56,3136,12.5316666666667,9.90625,"Pre"
"53",2024-11-26,"5C",3885.77455,"NoFish","Birds","Birds NoFish","Year2","2024-11-26",8.26507761229969,27.94,NA,"11/26/2024",0.37,2.63,0.02,-132.4,12.5,1898.295589,56,3136,12.5016666666667,9.90875,"Pre"
"54",2024-11-26,"6C",405.478465,"Fish","Birds","Birds Fish","Year2","2024-11-26",6.00506776487026,27.305,NA,"11/26/2024",0.37,3.17,0.02,-39,12.6,2496.658017,56,3136,12.5241666666667,10.4083333333333,"Pre"
"55",2024-11-26,"6E",260.9463,"Fish","NoBirds","NoBirds Fish","Year2","2024-11-26",5.56431463902741,22.225,NA,"11/26/2024",0.37,4.79,0.02,-106.7,12.5,1887.237556,56,3136,12.4175,9.33791666666667,"Pre"
