StudyYear,SampleDate,PlotID,FishTreatment,BirdTreatment,treatment,ElapsedDays,ElapsedDays2,Pre_Post,SamplingOccasion,MeanTemp,MeanDO,MeanDepth,total,DensityRounded
Year1,11/20/2023,1C,Fish,Birds,Birds Fish,1,1,Pre,11/20/2023,10.59513889,9.17625,25.99999999,692.9700401,693
Year1,11/20/2023,2E,NoFish,NoBirds,NoBirds NoFish,1,1,Pre,11/20/2023,10.42268519,9.727083333,23,968.1921837,968
Year1,11/20/2023,3C,NoFish,Birds,Birds NoFish,1,1,Pre,11/20/2023,10.60324074,7.812916667,25,260.4781002,260
Year1,11/20/2023,4E,Fish,NoBirds,NoBirds Fish,1,1,Pre,11/20/2023,10.37638889,9.875,27,845.3251553,845
Year1,11/20/2023,5C,NoFish,Birds,Birds NoFish,1,1,Pre,11/20/2023,10.51203704,9.020416667,25.99999999,830.5811118,831
Year1,11/20/2023,6C,Fish,Birds,Birds Fish,1,1,Pre,11/20/2023,10.47037037,9.67125,25.99999999,1523.551152,1524
Year1,11/20/2023,6E,Fish,NoBirds,NoBirds Fish,1,1,Pre,11/20/2023,10.53125,9.119166667,27,707.7140835,708
Year1,11/20/2023,7C,Fish,Birds,Birds Fish,1,1,Pre,11/20/2023,10.57268519,9.09625,25.99999999,997.6802706,998
Year1,11/20/2023,7E,Fish,NoBirds,NoBirds Fish,1,1,Pre,11/20/2023,10.38356481,9.6,29.99999999,619.2498231,619
Year1,11/20/2023,8C,NoFish,Birds,Birds NoFish,1,1,Pre,11/20/2023,10.11643519,8.873333333,22,496.3827947,496
Year1,11/20/2023,8E,NoFish,NoBirds,NoBirds NoFish,1,1,Pre,11/20/2023,10.33217593,8.6175,25,830.5811119,831
Year1,12/15/2023,1C,Fish,Birds,Birds Fish,26,676,Post,12/15/2023,8.933564815,7.81125,30.734,4367.045237,4367
Year1,12/15/2023,1E,Fish,NoBirds,NoBirds Fish,26,676,Post,12/15/2023,9.049768519,5.98125,30.48,5578.163089,5578
Year1,12/15/2023,2C,NoFish,Birds,Birds NoFish,26,676,Post,12/15/2023,9.192592593,7.495416667,30.48,3903.661016,3904
Year1,12/15/2023,2E,NoFish,NoBirds,NoBirds NoFish,26,676,Post,12/15/2023,8.878240741,8.174583333,34.29,442.3213022,442
Year1,12/15/2023,3C,NoFish,Birds,Birds NoFish,26,676,Post,12/15/2023,8.843287037,8.418333333,31.75,1209.011559,1209
Year1,12/15/2023,3E,NoFish,NoBirds,NoBirds NoFish,26,676,Post,12/15/2023,8.985416667,7.428333333,23.368,3821.164583,3821
Year1,12/15/2023,4C,Fish,Birds,Birds Fish,26,676,Post,12/15/2023,8.978009259,7.595416667,35.56,5995.910985,5996
Year1,12/15/2023,4E,Fish,NoBirds,NoBirds Fish,26,676,Post,12/15/2023,8.870601852,8.604166667,32.512,1032.083038,1032
Year1,12/15/2023,5C,NoFish,Birds,Birds NoFish,26,676,Post,12/15/2023,8.876157407,6.42875,29.21,466.8947078,467
Year1,12/15/2023,5E,NoFish,NoBirds,NoBirds NoFish,26,676,Post,12/15/2023,9.092824074,5.343333333,29.21,2309.900134,2310
Year1,12/15/2023,6C,Fish,Birds,Birds Fish,26,676,Post,12/15/2023,9.18912037,7.6675,27.94,3754.816387,3755
Year1,12/15/2023,6E,Fish,NoBirds,NoBirds Fish,26,676,Post,12/15/2023,9.023842593,7.729583333,29.21,688.055359,688
Year1,12/15/2023,7C,Fish,Birds,Birds Fish,26,676,Post,12/15/2023,8.95625,7.5075,33.02,1769.285209,1769
Year1,12/15/2023,7E,Fish,NoBirds,NoBirds Fish,26,676,Post,12/15/2023,9.11712963,7.89,32.512,1169.69411,1170
Year1,12/15/2023,8C,NoFish,Birds,Birds NoFish,26,676,Post,12/15/2023,8.715509259,8.402083333,34.29,4099.936218,4100
Year1,12/27/2023,1C,Fish,Birds,Birds Fish,38,1444,Post,12/27/2023,10.3025463,7.968333333,30.734,5674.222766,5674
Year1,12/27/2023,1E,Fish,NoBirds,NoBirds Fish,38,1444,Post,12/27/2023,10.28148148,7.827916667,30.48,1115.632618,1116
Year1,12/27/2023,2C,NoFish,Birds,Birds NoFish,38,1444,Post,12/27/2023,10.27222222,9.557916667,30.48,2039.592671,2040
Year1,12/27/2023,2E,NoFish,NoBirds,NoBirds NoFish,38,1444,Post,12/27/2023,10.3400463,9.647083333,34.29,4527.463834,4527
Year1,12/27/2023,3C,NoFish,Birds,Birds NoFish,38,1444,Post,12/27/2023,10.2099537,8.042916667,31.75,2391.811486,2392
Year1,12/27/2023,3E,NoFish,NoBirds,NoBirds NoFish,38,1444,Post,12/27/2023,10.32268519,7.599166667,23.368,2594.951912,2595
Year1,12/27/2023,4C,Fish,Birds,Birds Fish,38,1444,Post,12/27/2023,10.25694444,9.25625,35.56,8144.32916,8144
Year1,12/27/2023,4E,Fish,NoBirds,NoBirds Fish,38,1444,Post,12/27/2023,10.23703704,9.755833333,32.512,1950.979481,1951
Year1,12/27/2023,5C,NoFish,Birds,Birds NoFish,38,1444,Post,12/27/2023,10.26064815,6.9225,29.21,6526.696548,6527
Year1,12/27/2023,5E,NoFish,NoBirds,NoBirds NoFish,38,1444,Post,12/27/2023,10.3099537,7.1625,29.21,12768.3425,12768
Year1,12/27/2023,6C,Fish,Birds,Birds Fish,38,1444,Post,12/27/2023,10.31157407,9.36125,27.94,4902.394433,4902
