"","PlotID","StudyYear","FishTreatment","BirdTreatment","treatment","mean_depth","sd_depth"
"1","1C","Year1","Fish","Birds","Birds Fish",28.59599999864,3.24402448213268
"2","1C","Year2","Fish","Birds","Birds Fish",22.5777777777778,4.10436894594583
"3","1E","Year1","Fish","NoBirds","NoBirds Fish",27.1353846154277,4.56101024139897
"4","1E","Year2","Fish","NoBirds","NoBirds Fish",22.5777777777778,4.51376375040214
"5","2C","Year1","NoFish","Birds","Birds NoFish",28.1710769222262,3.22367118494765
"6","2C","Year2","NoFish","Birds","Birds NoFish",22.4084444444444,2.38451683319237
"7","2E","Year1","NoFish","NoBirds","NoBirds NoFish",29.0918461533477,3.95071718948912
"8","2E","Year2","NoFish","NoBirds","NoBirds NoFish",23.2833333333333,3.70265445322677
"9","3C","Year1","NoFish","Birds","Birds NoFish",28.3847692302308,3.03711843069873
"10","3C","Year2","NoFish","Birds","Birds NoFish",24.2711111111111,2.57503613782625
"11","3E","Year1","NoFish","NoBirds","NoBirds NoFish",24.2512307692415,2.30381257041854
"12","3E","Year2","NoFish","NoBirds","NoBirds NoFish",22.1544444444444,3.92012152589403
"13","4C","Year1","Fish","Birds","Birds Fish",29.2901538450846,4.64512005329082
"14","4C","Year2","Fish","Birds","Birds Fish",26.67,2.97841400748788
"15","4E","Year1","Fish","NoBirds","NoBirds Fish",32.077538461,3.56100820571523
"16","4E","Year2","Fish","NoBirds","NoBirds Fish",24.4968888888889,2.08338501269235
"17","5C","Year1","NoFish","Birds","Birds NoFish",27.7423846149615,2.86533010204597
"18","5C","Year2","NoFish","Birds","Birds NoFish",26.67,4.35334067125466
"19","5E","Year1","NoFish","NoBirds","NoBirds NoFish",28.6650769226769,3.9489443838541
"20","5E","Year2","NoFish","NoBirds","NoBirds NoFish",24.5533333333333,3.28424553741038
"21","6C","Year1","Fish","Birds","Birds Fish",27.2906153836862,3.65208510194775
"22","6C","Year2","Fish","Birds","Birds Fish",25.8233333333333,2.9614428493557
"23","6E","Year1","Fish","NoBirds","NoBirds Fish",28.9049230765,3.01794627957533
"24","6E","Year2","Fish","NoBirds","NoBirds Fish",24.13,3.22227307191678
"25","7C","Year1","Fish","Birds","Birds Fish",29.6051538448092,3.50833844594627
"26","7C","Year2","Fish","Birds","Birds Fish",26.4583333333333,4.92892546606256
"27","7E","Year1","Fish","NoBirds","NoBirds Fish",30.2439384608308,3.15933925832889
"28","7E","Year2","Fish","NoBirds","NoBirds Fish",26.2466666666667,3.59210244842766
"29","8C","Year1","NoFish","Birds","Birds NoFish",28.9453846162954,4.53565249826616
"30","8C","Year2","NoFish","Birds","Birds NoFish",27.0933333333333,3.28424553741038
"31","8E","Year1","NoFish","NoBirds","NoBirds NoFish",30.5503076923692,3.71885796442661
"32","8E","Year2","NoFish","NoBirds","NoBirds NoFish",14.1111111111111,3.76713151630138
