"","X","PlotID","Date","C13PW","C13Gas","FishOnField","FishTreatment","BirdTreatment","treatment","StudyYear"
"1",1,"1E","2024-01-29",-54.95,-51.25,"Y","Fish","NoBirds","NoBirds Fish","Year1"
"2",2,"2E","2024-01-29",-56.04,-44.27,"Y","NoFish","NoBirds","NoBirds NoFish","Year1"
"3",3,"2C","2024-01-29",-56.29,-44.48,"Y","NoFish","Birds","Birds NoFish","Year1"
"4",4,"3E","2024-01-29",NA,-43.99,"Y","NoFish","NoBirds","NoBirds NoFish","Year1"
"5",5,"3C","2024-01-29",NA,-52.15,"Y","NoFish","Birds","Birds NoFish","Year1"
"6",6,"4E","2024-01-29",-52.5,-46.24,"Y","Fish","NoBirds","NoBirds Fish","Year1"
"7",7,"4C","2024-01-29",-56.55,-58.15,"Y","Fish","Birds","Birds Fish","Year1"
"8",8,"5E","2024-01-29",-56.44,-55.26,"Y","NoFish","NoBirds","NoBirds NoFish","Year1"
"9",9,"5C","2024-01-29",NA,-46.83,"Y","NoFish","Birds","Birds NoFish","Year1"
"10",10,"6E","2024-01-29",-54.49,-45.47,"Y","Fish","NoBirds","NoBirds Fish","Year1"
"11",11,"6C","2024-01-29",-55.14,-47.97,"Y","Fish","Birds","Birds Fish","Year1"
"12",12,"7E","2024-01-29",-45,-56.13,"Y","Fish","NoBirds","NoBirds Fish","Year1"
"13",13,"7C","2024-01-29",-52.37,-57.06,"Y","Fish","Birds","Birds Fish","Year1"
"14",14,"8E","2024-01-29",-56.71,NA,"Y","NoFish","NoBirds","NoBirds NoFish","Year1"
"15",15,"8C","2024-01-29",-55.42,NA,"Y","NoFish","Birds","Birds NoFish","Year1"
"16",16,"1E","2024-02-13",-56.13248546,-56.14,"Y","Fish","NoBirds","NoBirds Fish","Year1"
"17",17,"2E","2024-02-13",-51.68313874,-55.48,"Y","NoFish","NoBirds","NoBirds NoFish","Year1"
"18",18,"2C","2024-02-13",-56.05121552,-46.56,"Y","NoFish","Birds","Birds NoFish","Year1"
"19",19,"3E","2024-02-13",-57.67558382,-46.6,"Y","NoFish","NoBirds","NoBirds NoFish","Year1"
"20",20,"3C","2024-02-13",-55.08730187,-45.54,"Y","NoFish","Birds","Birds NoFish","Year1"
"21",21,"4E","2024-02-13",-57.27140707,-45.92,"Y","Fish","NoBirds","NoBirds Fish","Year1"
"22",22,"5C","2024-02-13",-57.90105393,-50.16,"Y","NoFish","Birds","Birds NoFish","Year1"
"23",23,"6E","2024-02-13",-53.64601599,-55.75,"Y","Fish","NoBirds","NoBirds Fish","Year1"
"24",24,"7E","2024-02-13",-55.66639451,-56.79,"Y","Fish","NoBirds","NoBirds Fish","Year1"
"25",25,"8E","2024-02-13",-54.95258424,-53.73,"Y","NoFish","NoBirds","NoBirds NoFish","Year1"
"26",26,"8C","2024-02-13",-56.47175044,-53.51,"Y","NoFish","Birds","Birds NoFish","Year1"
"27",27,"1E","2024-05-29",-46.2,NA,"N","Fish","NoBirds","NoBirds Fish","Year1"
"28",28,"1C","2024-05-29",-44.61,NA,"N","Fish","Birds","Birds Fish","Year1"
"29",29,"2E","2024-05-29",-44.37896968,NA,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"30",30,"2C","2024-05-29",-47.24543978,NA,"N","NoFish","Birds","Birds NoFish","Year1"
"31",31,"3E","2024-05-29",-48.20585975,NA,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"32",32,"3C","2024-05-29",-46.83964452,NA,"N","NoFish","Birds","Birds NoFish","Year1"
"33",33,"4E","2024-05-29",-46.06,NA,"N","Fish","NoBirds","NoBirds Fish","Year1"
"34",34,"4C","2024-05-29",-46.56,NA,"N","Fish","Birds","Birds Fish","Year1"
"35",35,"5E","2024-05-29",-59.25,NA,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"36",36,"5C","2024-05-29",-45.2,NA,"N","NoFish","Birds","Birds NoFish","Year1"
"37",37,"6E","2024-05-29",-51.05,NA,"N","Fish","NoBirds","NoBirds Fish","Year1"
"38",38,"6C","2024-05-29",-49.05,NA,"N","Fish","Birds","Birds Fish","Year1"
"39",39,"1E","2024-06-12",-61.35,-50.6,"N","Fish","NoBirds","NoBirds Fish","Year1"
"40",40,"1C","2024-06-12",-51.31,-47.37,"N","Fish","Birds","Birds Fish","Year1"
"41",41,"2E","2024-06-12",-57.81,-52.84,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"42",42,"2C","2024-06-12",-58.41,-56.33,"N","NoFish","Birds","Birds NoFish","Year1"
"43",43,"3E","2024-06-12",-58.1,-58.72,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"44",44,"3C","2024-06-12",-58.41,-56.55,"N","NoFish","Birds","Birds NoFish","Year1"
"45",45,"4E","2024-06-12",-60.12,-57.25,"N","Fish","NoBirds","NoBirds Fish","Year1"
"46",46,"4C","2024-06-12",-60.21,-57.12,"N","Fish","Birds","Birds Fish","Year1"
"47",47,"5E","2024-06-12",-59.14,-55.15,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"48",48,"5C","2024-06-12",-60.1,-58.95,"N","NoFish","Birds","Birds NoFish","Year1"
"49",49,"6E","2024-06-12",-60.93,-55.03,"N","Fish","NoBirds","NoBirds Fish","Year1"
"50",50,"6C","2024-06-12",-58.98,-52.1,"N","Fish","Birds","Birds Fish","Year1"
"51",51,"7E","2024-06-12",-60.62,-56.08,"N","Fish","NoBirds","NoBirds Fish","Year1"
"52",52,"7C","2024-06-12",-57.21,-52.96,"N","Fish","Birds","Birds Fish","Year1"
"53",53,"8E","2024-06-12",-60.09,-59.26,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"54",54,"8C","2024-06-12",-58.95,-54.79,"N","NoFish","Birds","Birds NoFish","Year1"
"55",55,"1E","2024-06-27",-62.94,NA,"N","Fish","NoBirds","NoBirds Fish","Year1"
"56",56,"1C","2024-06-27",-53.49,-45.8,"N","Fish","Birds","Birds Fish","Year1"
"57",57,"2C","2024-06-27",-61.05,-48.19,"N","NoFish","Birds","Birds NoFish","Year1"
"58",58,"3E","2024-06-27",-58.47,-53.52,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"59",59,"3C","2024-06-27",-59.67,-57.2,"N","NoFish","Birds","Birds NoFish","Year1"
"60",60,"4E","2024-06-27",-58.46,-54.41,"N","Fish","NoBirds","NoBirds Fish","Year1"
"61",61,"4C","2024-06-27",-59.14,-56.61,"N","Fish","Birds","Birds Fish","Year1"
"62",62,"5E","2024-06-27",-58.94,-55.61,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"63",63,"5C","2024-06-27",-60.49,-52.44,"N","NoFish","Birds","Birds NoFish","Year1"
"64",64,"6E","2024-06-27",-59.94,-52.58,"N","Fish","NoBirds","NoBirds Fish","Year1"
"65",65,"6C","2024-06-27",-57.66,-56.89,"N","Fish","Birds","Birds Fish","Year1"
"66",66,"7E","2024-06-27",-58.08,-54.46,"N","Fish","NoBirds","NoBirds Fish","Year1"
"67",67,"7C","2024-06-27",-59.66,-54.78,"N","Fish","Birds","Birds Fish","Year1"
"68",68,"8E","2024-06-27",-37.63,-56.31,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"69",69,"8C","2024-06-27",-60.22,-53.38,"N","NoFish","Birds","Birds NoFish","Year1"
"70",70,"1E","2024-07-11",-62.4,-57.85,"N","Fish","NoBirds","NoBirds Fish","Year1"
"71",71,"2E","2024-07-11",NA,-59.4,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"72",72,"2C","2024-07-11",-62.35,-63.63,"N","NoFish","Birds","Birds NoFish","Year1"
"73",73,"3E","2024-07-11",-61.3,-58.05,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"74",74,"3C","2024-07-11",-59.15,-58.37,"N","NoFish","Birds","Birds NoFish","Year1"
"75",75,"4E","2024-07-11",NA,-58.34,"N","Fish","NoBirds","NoBirds Fish","Year1"
"76",76,"4C","2024-07-11",-60.27,-58.04,"N","Fish","Birds","Birds Fish","Year1"
"77",77,"5E","2024-07-11",-61.66,-57.59,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"78",78,"5C","2024-07-11",-61.74,-56.5,"N","NoFish","Birds","Birds NoFish","Year1"
"79",79,"6E","2024-07-11",-61.13,-57.14,"N","Fish","NoBirds","NoBirds Fish","Year1"
"80",80,"6C","2024-07-11",-57.08,-56.48,"N","Fish","Birds","Birds Fish","Year1"
"81",81,"7E","2024-07-11",-61.45,-58.18,"N","Fish","NoBirds","NoBirds Fish","Year1"
"82",82,"7C","2024-07-11",-61.87,-60.28,"N","Fish","Birds","Birds Fish","Year1"
"83",83,"8E","2024-07-11",-59.54,-58.38,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"84",84,"8C","2024-07-11",-61.23,-56.57,"N","NoFish","Birds","Birds NoFish","Year1"
"85",85,"1E","2024-07-26",-62.55,-55.46,"N","Fish","NoBirds","NoBirds Fish","Year1"
"86",86,"1C","2024-07-26",-65.86,-54.7,"N","Fish","Birds","Birds Fish","Year1"
"87",87,"2E","2024-07-26",-60.86,-61.65,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
