"","PlotID","Date","C13PW","C13Gas","FishOnField","FishTreatment","BirdTreatment","treatment","StudyYear"
"1","1E",2024-12-10,-53.92,-54.09,"N","Fish","NoBirds","NoBirds Fish","Year2"
"2","1C",2024-12-10,-61.11,-50.66,"N","Fish","Birds","Birds Fish","Year2"
"3","2E",2024-12-10,-50.52,-48.33,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"4","2C",2024-12-10,-57.2,-55.84,"N","NoFish","Birds","Birds NoFish","Year2"
"5","3E",2024-12-10,-52.58,-54.62,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"6","3C",2024-12-10,-49.46,-48.26,"N","NoFish","Birds","Birds NoFish","Year2"
"7","4E",2024-12-10,-53.6,-67.54,"N","Fish","NoBirds","NoBirds Fish","Year2"
"8","4C",2024-12-10,-55.91,-57.24,"N","Fish","Birds","Birds Fish","Year2"
"9","5E",2024-12-10,-51.72,-45.28,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"10","5C",2024-12-10,-53.77,-53.9,"N","NoFish","Birds","Birds NoFish","Year2"
"11","6E",2024-12-10,-49.92,-55.23,"N","Fish","NoBirds","NoBirds Fish","Year2"
"12","6C",2024-12-10,-52.88,-49.55,"N","Fish","Birds","Birds Fish","Year2"
"13","7E",2024-12-10,-53.71,-56.34,"N","Fish","NoBirds","NoBirds Fish","Year2"
"14","7C",2024-12-10,-59.1,-44.92,"N","Fish","Birds","Birds Fish","Year2"
"15","8E",2024-12-10,-59.78,-51.22,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"16","8C",2024-12-10,-55.3,-53.11,"N","NoFish","Birds","Birds NoFish","Year2"
"17","1E",2024-12-22,-58.51,-46.94,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"18","1C",2024-12-22,-61.03,-44.81,"Y","Fish","Birds","Birds Fish","Year2"
"19","2E",2024-12-22,-58.4,-45.54,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"20","2C",2024-12-22,-58.63,-54.42,"Y","NoFish","Birds","Birds NoFish","Year2"
"21","3E",2024-12-22,-53.89,-54.12,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"22","3C",2024-12-22,-48.73,-51.93,"Y","NoFish","Birds","Birds NoFish","Year2"
"23","4E",2024-12-22,-57.35,-56.65,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"24","4C",2024-12-22,-59.86,-55.14,"Y","Fish","Birds","Birds Fish","Year2"
"25","5E",2024-12-22,-48.19,-49.17,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"26","5C",2024-12-22,-55.09,-53.38,"Y","NoFish","Birds","Birds NoFish","Year2"
"27","6E",2024-12-22,-52.9,-51.44,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"28","6C",2024-12-22,-54.51,-51.17,"Y","Fish","Birds","Birds Fish","Year2"
"29","7E",2024-12-22,-55.4,-47.41,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"30","7C",2024-12-22,-60.17,-55.5,"Y","Fish","Birds","Birds Fish","Year2"
"31","8E",2024-12-22,-58.67,-54.89,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"32","8C",2024-12-22,-57.19,-53.02,"Y","NoFish","Birds","Birds NoFish","Year2"
"33","1E",2025-01-09,-54.83,NA,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"34","1C",2025-01-09,-61.44,NA,"Y","Fish","Birds","Birds Fish","Year2"
"35","2E",2025-01-09,-56.27,NA,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"36","2C",2025-01-09,-59.35,-48.06,"Y","NoFish","Birds","Birds NoFish","Year2"
"37","3E",2025-01-09,-56.98,-53.11,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"38","3C",2025-01-09,-49.24,-48.2,"Y","NoFish","Birds","Birds NoFish","Year2"
"39","4C",2025-01-09,-58.61,NA,"Y","Fish","Birds","Birds Fish","Year2"
"40","5E",2025-01-09,-44.64,NA,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"41","5C",2025-01-09,-57.74,NA,"Y","NoFish","Birds","Birds NoFish","Year2"
"42","6E",2025-01-09,-57.13,NA,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"43","6C",2025-01-09,-55.66,NA,"Y","Fish","Birds","Birds Fish","Year2"
"44","7E",2025-01-09,-52.88,NA,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"45","7C",2025-01-09,-60.04,NA,"Y","Fish","Birds","Birds Fish","Year2"
"46","8E",2025-01-09,-58.85,NA,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"47","8C",2025-01-09,-57.6,NA,"Y","NoFish","Birds","Birds NoFish","Year2"
"48","1E",2025-01-22,-54.11,-47.21,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"49","1C",2025-01-22,-29.79,-41.82,"Y","Fish","Birds","Birds Fish","Year2"
"50","2E",2025-01-22,-58.43,-44.68,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"51","2C",2025-01-22,-58.46,-44.07,"Y","NoFish","Birds","Birds NoFish","Year2"
"52","3E",2025-01-22,-56.62,-51.25,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"53","3C",2025-01-22,-49.51,-43.44,"Y","NoFish","Birds","Birds NoFish","Year2"
"54","4E",2025-01-22,-56.96,-49.17,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"55","4C",2025-01-22,-58.14,-43.76,"Y","Fish","Birds","Birds Fish","Year2"
"56","5E",2025-01-22,-43.3,-45.22,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"57","5C",2025-01-22,-57.86,-56.34,"Y","NoFish","Birds","Birds NoFish","Year2"
"58","6E",2025-01-22,-56.75,-44.6,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"59","6C",2025-01-22,-55.56,-43.79,"Y","Fish","Birds","Birds Fish","Year2"
"60","7E",2025-01-22,-51.93,-42.86,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"61","7C",2025-01-22,-59.88,-48.49,"Y","Fish","Birds","Birds Fish","Year2"
