"","X","SampleDate","PlotID","FishTreatment","BirdTreatment","treatment","ElapsedDays","ElapsedDays2","Pre_Post","SamplingOccasion","MeanTemp","MeanDO","MeanDepth","total","DensityRounded","ElapsedDaysScaled","ElapsedDaysScaled2","MeanTempScaled","MeanDOScaled","MeanDepthScaled"
"1",1,2023-11-20,"1C","Fish","Birds","Birds Fish",1,1,"Pre","11/20/2023",10.59513889,9.17625,25.99999999,579.932374,580,-1.85093174442706,3.42594832252779,0.104920738450802,0.069802368354763,-1.0841496416664
"2",2,2023-11-20,"2E","NoFish","NoBirds","NoBirds NoFish",1,1,"Pre","11/20/2023",10.42268519,9.727083333,23,869.898561,870,-1.85093174442706,3.42594832252779,0.0183752652035584,0.533773641103092,-1.89380464144508
"3",3,2023-11-20,"3C","NoFish","Birds","Birds NoFish",1,1,"Pre","11/20/2023",10.60324074,7.812916667,25,176.9285209,177,-1.85093174442706,3.42594832252779,0.10898663232509,-1.07854408019292,-1.35403463979339
"4",4,2023-11-20,"4E","Fish","NoBirds","NoBirds Fish",1,1,"Pre","11/20/2023",10.37638889,9.875,27,594.6764174,595,-1.85093174442706,3.42594832252779,-0.00485842124733466,0.658365019542205,-0.814264638141702
"5",5,2023-11-20,"5C","NoFish","Birds","Birds NoFish",1,1,"Pre","11/20/2023",10.51203704,9.020416667,25.99999999,525.8708815,526,-1.85093174442706,3.42594832252779,0.0632162755371537,-0.0614572804664973,-1.0841496416664
"6",6,2023-11-20,"6C","Fish","Birds","Birds Fish",1,1,"Pre","11/20/2023",10.47037037,9.67125,25.99999999,891.6635774,892,-1.85093174442706,3.42594832252779,0.0423059577313501,0.486744783149445,-1.0841496416664
"7",7,2023-11-20,"6E","Fish","NoBirds","NoBirds Fish",1,1,"Pre","11/20/2023",10.53125,9.119166667,27,599.5910986,600,-1.85093174442706,3.42594832252779,0.0728582531559606,0.0217206255152706,-0.814264638141702
"8",8,2023-11-20,"7C","Fish","Birds","Birds Fish",1,1,"Pre","11/20/2023",10.57268519,9.09625,25.99999999,575.0176929,575,-1.85093174442706,3.42594832252779,0.0936524032822811,0.00241773566067305,-1.0841496416664
"9",9,2023-11-20,"7E","Fish","NoBirds","NoBirds Fish",1,1,"Pre","11/20/2023",10.38356481,9.6,29.99999999,471.809389,472,-1.85093174442706,3.42594832252779,-0.0012572031094556,0.426730344656271,-0.00460963836301952
"10",10,2023-11-20,"8C","NoFish","Birds","Birds NoFish",1,1,"Pre","11/20/2023",10.11643519,8.873333333,22,407.9185342,408,-1.85093174442706,3.42594832252779,-0.135315558373833,-0.185346735929149,-2.16368964227092
