"","SampleDate","PlotID","FishTreatment","BirdTreatment","treatment","ElapsedDays","ElapsedDays2","Pre_Post","SamplingOccasion","MeanTemp","MeanDO","MeanDepth","total","DensityRounded","ElapsedDaysScaled","ElapsedDaysScaled2","MeanTempScaled","MeanDOScaled","MeanDepthScaled"
"1","2024-11-05","1C","Fish","Birds","Birds Fish",1,1,"Pre","2024-11-05",13.8116666666667,8.61875,15.24,5873.0439567,5873,-1.50625099419223,2.26879205750507,2.3547525312387,0.075682107956867,-1.87653141685668
"2","2024-11-05","1E","Fish","NoBirds","NoBirds Fish",1,1,"Pre","2024-11-05",13.8266666666667,8.24083333333333,15.24,19167.25642823,19167,-1.50625099419223,2.26879205750507,2.36471331971651,-0.0859617292702764,-1.87653141685668
"3","2024-11-05","2C","NoFish","Birds","Birds NoFish",1,1,"Pre","2024-11-05",13.7041666666667,9.44791666666667,17.78,3329.69646987,3330,-1.50625099419223,2.26879205750507,2.2833668804811,0.430336171994367,-1.33061573723052
"4","2024-11-05","2E","NoFish","NoBirds","NoBirds NoFish",1,1,"Pre","2024-11-05",13.7608333333333,8.47875,17.78,2137.886294,2138,-1.50625099419223,2.26879205750507,2.32099652584165,0.0158008187525453,-1.33061573723052
"5","2024-11-05","3C","NoFish","Birds","Birds NoFish",1,1,"Pre","2024-11-05",13.5420833333333,9.11729166666667,21.59,7998.64354823,7999,-1.50625099419223,2.26879205750507,2.17573502720699,0.288920091685948,-0.511742217791289
"6","2024-11-05","3E","NoFish","NoBirds","NoBirds NoFish",1,1,"Pre","2024-11-05",13.7725,9.15083333333333,15.24,9288.74734685,9289,-1.50625099419223,2.26879205750507,2.32874380576886,0.303266650557813,-1.87653141685668
"7","2024-11-05","4C","Fish","Birds","Birds Fish",1,1,"Pre","2024-11-05",13.7291666666667,9.28208333333333,25.4,2997.9554923,2998,-1.50625099419223,2.26879205750507,2.29996819461077,0.359405359186865,0.307131301647943
"8","2024-11-05","4E","Fish","NoBirds","NoBirds Fish",1,1,"Pre","2024-11-05",13.6933333333333,9.42291666666667,20.32,26539.27813215,26539,-1.50625099419223,2.26879205750507,2.27617297769153,0.419643084636452,-0.784700057604367
"9","2024-11-05","5C","NoFish","Birds","Birds NoFish",1,1,"Pre","2024-11-05",13.6375,8.95958333333333,21.59,619.24982308,619,-1.50625099419223,2.26879205750507,2.23909670946861,0.221464532269767,-0.511742217791289
"10","2024-11-05","5E","NoFish","NoBirds","NoBirds NoFish",1,1,"Pre","2024-11-05",13.7675,8.92375,20.32,10234.82346439,10235,-1.50625099419223,2.26879205750507,2.32542354294292,0.206137773723424,-0.784700057604367
"11","2024-11-05","6C","Fish","Birds","Birds Fish",1,1,"Pre","2024-11-05",13.815,9.70125,22.86,6266.2184471,6266,-1.50625099419223,2.26879205750507,2.3569660397893,0.538692790554567,-0.238784377978212
"12","2024-11-05","6E","Fish","NoBirds","NoBirds Fish",1,1,"Pre","2024-11-05",13.7183333333333,8.86791666666667,17.78,7261.4413771,7261,-1.50625099419223,2.26879205750507,2.2927742918212,0.18225654529075,-1.33061573723052
"13","2024-11-05","7C","Fish","Birds","Birds Fish",1,1,"Pre","2024-11-05",13.5658333333333,9.12958333333333,25.4,486.553432445,487,-1.50625099419223,2.26879205750507,2.19150627563018,0.294177526303586,0.307131301647943
