"","SampleDate","PlotID","FishTreatment","BirdTreatment","treatment","ElapsedDays","ElapsedDays2","Pre_Post","SamplingOccasion","MeanTemp","MeanDO","MeanDepth","total","DensityRounded","ElapsedDaysScaled","ElapsedDaysScaled2","MeanTempScaled","MeanDOScaled","MeanDepthScaled"
"1","2024-11-05","1C","Fish","Birds","Birds Fish",1,1,"Pre","2024-11-05",13.8116666666667,8.61875,15.24,7396.59510868,7397,-1.50625099419223,2.26879205750507,2.3547525312387,0.075682107956867,-1.87653141685668
"2","2024-11-05","1E","Fish","NoBirds","NoBirds Fish",1,1,"Pre","2024-11-05",13.8266666666667,8.24083333333333,15.24,21305.14272249,21305,-1.50625099419223,2.26879205750507,2.36471331971651,-0.0859617292702764,-1.87653141685668
"3","2024-11-05","2C","NoFish","Birds","Birds NoFish",1,1,"Pre","2024-11-05",13.7041666666667,9.44791666666667,17.78,3894.88480045,3895,-1.50625099419223,2.26879205750507,2.2833668804811,0.430336171994367,-1.33061573723052
"4","2024-11-05","2E","NoFish","NoBirds","NoBirds NoFish",1,1,"Pre","2024-11-05",13.7608333333333,8.47875,17.78,3538.57041773,3539,-1.50625099419223,2.26879205750507,2.32099652584165,0.0158008187525453,-1.33061573723052
"5","2024-11-05","3C","NoFish","Birds","Birds NoFish",1,1,"Pre","2024-11-05",13.5420833333333,9.11729166666667,21.59,9841.64897403,9842,-1.50625099419223,2.26879205750507,2.17573502720699,0.288920091685948,-0.511742217791289
"6","2024-11-05","3E","NoFish","NoBirds","NoBirds NoFish",1,1,"Pre","2024-11-05",13.7725,9.15083333333333,15.24,11238.23753036,11238,-1.50625099419223,2.26879205750507,2.32874380576886,0.303266650557813,-1.87653141685668
"7","2024-11-05","4C","Fish","Birds","Birds Fish",1,1,"Pre","2024-11-05",13.7291666666667,9.28208333333333,25.4,3646.693402111,3647,-1.50625099419223,2.26879205750507,2.29996819461077,0.359405359186865,0.307131301647943
"8","2024-11-05","4E","Fish","NoBirds","NoBirds Fish",1,1,"Pre","2024-11-05",13.6933333333333,9.42291666666667,20.32,30323.5826069,30324,-1.50625099419223,2.26879205750507,2.27617297769153,0.419643084636452,-0.784700057604367
"9","2024-11-05","5C","NoFish","Birds","Birds NoFish",1,1,"Pre","2024-11-05",13.6375,8.95958333333333,21.59,914.130691252,914,-1.50625099419223,2.26879205750507,2.23909670946861,0.221464532269767,-0.511742217791289
"10","2024-11-05","5E","NoFish","NoBirds","NoBirds NoFish",1,1,"Pre","2024-11-05",13.7675,8.92375,20.32,12544.72359838,12545,-1.50625099419223,2.26879205750507,2.32542354294292,0.206137773723424,-0.784700057604367
